Site,SEM_Fe_ppm,SEM_Cr_ppm,SEM_Mn_ppm,SEM_Mo_ppm,SEM_In_ppm,Soil_Fe_ppm,Soil_Cr_ppm,Soil_Mn_ppm,Soil_Mo_ppm,Lat,Lon,Ewaste_Nearby,geometry
Alvord Lake,51600,190,200,10.0,18.2,45000,90,600,1.2,33.403,-112.118,1,POINT (-112.118 33.403)
Desert West Lake,73000,170,150,15.0,10.4,46000,85,590,1.5,33.47,-112.166,1,POINT (-112.166 33.47)
Steele Park,3000,20,10,3.0,0.5,48000,95,610,1.0,33.506,-112.065,0,POINT (-112.065 33.506)
Gila Canal,26900,80,90,9.3,0.0,44000,80,580,1.3,33.39,-112.126,0,POINT (-112.126 33.39)
Papago Park,62800,30,50,7.5,11.0,45500,88,605,1.4,33.46,-111.944,1,POINT (-111.944 33.46)
Tres Rios,68200,190,200,12.2,0.0,47000,87,595,1.6,33.381,-112.307,0,POINT (-112.307 33.381)
